Under der linden	Unter der Linde
des rimpfet sich vil manic brâ.	da kraust sich manche Stirn und manche Brau.
Ich saz ûf eime grüenen lê,	Ich saß auf einer grünen Höh,
da ensprungen bluomen unde klê	da sprossen Blumen und der Klee
zwischen mir und eime sê –	zwischen mir und einem See –
der ougenweide ist dâ niht mê.	doch diese Augenweide ist passé.
Dâ wir schapel brâchen ê,	Dort, wo wir Kränze flochten eh,
dâ lît nû rîfe und ouch der snê:	liegt jetzt der Reif und kalter Schnee:
daz tuot den vogellînen wê.	das tut den kleinen Vöglein weh.
Die tôren sprechent: "snîâ, snî!"	Die Toren rufen: "Schnei doch, schnei!",
die armen liute: "owê, owî!" –	die armen Leut: "Auweh, auwei!" –
Des bin ich swaere alsam ein blî:	Ich bin davon so schwer wie Blei:
der wintersorge hân ich drî.	Der Wintersorgen hab ich drei,
Swaz der und der andern sî,	doch was mit diesen und den andren sei,
der wurde ich alse schiere frî,	würd' ich von ihnen wieder frei,
waer uns der sumer nâhe bî!	käm' nur der Sommer bald herbei!
Ê danne ich lange lebt alsô,	Bevor ich länger lebte so,
den krebz wolt ich ê ezzen rô.	wollt' ich die Krebse essen roh.
Sumer, mache uns aber frô!	Sommer, mach uns wieder froh!
dû zierest anger unde lô.	Du schmückst uns Hain und Wiese, wo
Mit den bluomen spilt ich dô,	ich mit den Blumen spielte so,
mîn herze swebt in sunnen hô –	als ob mein Herz zur Sonn entfloh. –
daz jaget der winter in ein strô.	Der Winter aber scheucht mich in das Stroh!
Ich bin verlegen als ein sû,	Ich bin vom Liegen träg' wie eine Sau,
mîn sleht hâr ist mir worden rû.	mein glattes Haar struppig und rauh. –
Süezer sumer, wâ bist dû?	Süßer Sommer, wo bist du jetzt genau?
jâ saehe ich gerner veltgebû!	Wie gern säh' ich den Ackerbau!
Ê deich lange in selher drû	Eh ich noch länger im Verhau
beklemmet waere, als ich bin nû,	gefangen wäre, klamm und flau,
ich wurde ê münch ze Toberlû.	ich würde lieber Mönch in Doberlug (ganz ohne Frau)
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Des solt dû gewis sîn.	Dessen sollst du gewiss sein.
Dû bist beslozzen	Du bist eingeschlossen
In mînem herzen,	in meinem Herzen.
Dû bist beslozzen	Du bist eingeschlossen
In mînem herzen,	in meinem Herzen.
Verlorn ist das sluzzelîn:	Verloren ist das Schlüsselchen:
Muost ouch immêr darinne sîn.	Du musst auch für immer darin bleiben.
Verlorn ist das sluzzelîn:	Verloren ist das Schlüsselchen:
Muost ouch immêr darinne sîn.	Du musst auch für immer darin bleiben.
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Des solt dû gewis sîn.	Dessen sollst du gewiss sein.
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Dû bist mîn, ich bin dîn.	Du bist mein, ich bin dein.
Des solt dû gewis sîn.	Dessen sollst du gewiss sein.
Wér sól ûf Steinsberc	Wer wird auf Steinsberg
würken Wernhartes werc?	Weinharts Tun fortführen?
hei, wie er gap unde lêch!	Hei, wie freigebig er war und Lehen er verteilte!
des er dem biderben man verzêch,	Was er dem angesehenen Mann nicht gab,
Des enmóht er niht gewinnen.	das besaß er selber nicht.
daz was der wille: kom diu state,	Das war die Übereinkunft. War man einig,
si schieden sich ze jungest mit minnen.	schied man in Freundschaft.
Dô der guote Wernhart	Als der vortreffliche Weinhart
an dise welt geborn wart,	in diese Welt geboren wurde,
dô begónde er teilen al sîn guot.	begann er seinen gesamten Besitz zu verteilen.
dô gewán er Rüedegêrs muot,	Das machte er wie der edle Rüedeger,
Der saz ze Bechelaere	Der in Bechlarn lebte
und pflac der marke menegen tac.	und das Grenzland lange schützte.
der wart von sîner vrumecheit sô maere.	Er wurde durch seine edle Gesinnung berühmt.
Steinsberc die tugende hât,	Steinsberg befolgt den Grundsatz,
daz ez sich nieman erben lât	dass man niemand erben lassen will,
wan ein, der ouch êren pfligt.	es sei denn, dieser ist auch der Ehre verpflichtet.
dem strîte hât ez an gesigt.	Der Wettstreit ist jetzt entschieden.
Nû hât ez einen erben:	Nun gibt es einen Erben:
der werden Oetingaere stam	aus dem Geschlecht der geachteten Oetinger;
der wil im sînen namen niht verderben.	der wird Steinbergs Ruf nicht verkommen lassen.
"Sîne klâwen	"Seine Klauen
durch die wolken sint geslagen,	durch den Wolken sind geschlagen,
er stîget ûf mit grôzer kraft.	er steigt auf mit großer Kraft,
ich sich in grâwen	ich sehe ihn grauen,
tegelîch, als er wil tagen,	taghaft, so wie er jetzt tagen wird,
den tac der im geselleschaft	den Tag, der ihm, dem edlen Mann,
erwenden wil, dem werden man,	den ich in der Nacht eingelassen habe,
den ich mit mit sorgen în verliez.	das Zusammensein mit der Geliebten nehmen will.
ich bringe in hinnen, ob ich kan. sîn vil	Ich bringe ihn wieder fort, wenn ich es kann.
manigiu tugent mich daz leisten hiez."	Seine edle Vollkommenheit gebot es mir, dies zu tun."
"Wahtaer, du singest,	"Wächter, du singst,
daz mir manige freude nimt	was mir viele Freude nimmt
und mêret mîne klage.	und meine Klage vermehrt.
maer du bringest,	Du bringst Kunde,
der mich leider niht gezimt,	die mir zu meinem Schmerz überhaupt nicht gefallen
immer morgens gegen dem tage:	kann, immer morgens bei Tagesanbruch.
diu solt du mir verswîgen gar!	Die solltest du mir ganz und gar verschweigen!
daz gebiut ich den triuwen dîn.	Das empfehle ich dir als Gebot der Treue.
des lôn ich dir, als ich getar,	Dafür belohne ich dich, so wie ich kann,
sô belîbet hie der geselle mîn."	dann bleibt mein Geliebter hier bei mir."
"Er muoz et hinnen	"Er muss fort,
balde und ân sûmen sich.	sogleich und ohne sich zu säumen.
nu gip im urloup, süezez wîp.	Nun gewähre im Abschied, liebliche Frau.
lâze in minnen	Lass ihn hernach
her nâch sô verholn dich,	dich im Verborgenen so lieben,
daz er behalte êre unde den lîp.	dass er Ansehen und Leben behält.
er gap sich mîner triuwe alsô,	Er stellt sich meiner Treue so anheim, dass ich
daz ich in braehte ouch wider dan.	ihn auch wieder sicher von dannen bringen sollte.
ez ist nu tac. naht was ez dô mit drucken	Es ist nun Tag. Nacht war es, als unter
an die brust dîn kus mir in an gewan."	Umarmungen dein Kuss mir ihn wegnahm."
"Swaz dir gevalle,	"Was immer du magst,
wachtaer, sinc und lâ den hie,	Wächter, das singe, und lass den hier,
der minne brâht und minne enpfienc.	der Liebe gab und Liebe empfing.
von dînem schalle	Von deinem Ruf
ist er und ich erschrocken ie,	sind er und ich immer schon erschreckt worden,
sô ninder morgenstern ûf gienc	wenn noch nirgends der Morgenstern aufgegangen
ûf in, der her nâch minne ist komen,	war über ihm, der hierher zu mir gekommen war,
noch ninder lûhte tages lieht.	Noch irgendwo des Licht des Tages leuchtete.
du hâst in dicke mir benomen	Dann hast du oft schon mir genommen aus
von blanken armen und ûz herzen nieht."	meinen nackten Armen, aber aus dem Herzen nicht."
Von den blicken,	Von den Strahlen,
die der tac tet durch diu glas,	die der Tag durch die Fenster warf
und dô wahtaere warnen sanc,	und als der Wächter seine Warnung sang,
si muose erschricken	da fuhr schreckliche Angst in sie
durch den, der dâ bi ir was.	um den, der da noch bei ihr war.
ir brüstlîn an brust si dwanc.	Ihre zarten Brüste drängte sie an seine Brust.
der rîter ellens niht vergaz:	Der Ritter spürte noch einmal seine Kraft.
des wold in wenden wahtaers dôn.	Daran wollte ihn der Sang des Wächters hindern.
urloup nâh und nâher baz	Abschied, nah und immer näher, gab ihnen
mit kusse und anders gap in minne lôn.	unter Küssen und mit andrem Tun der Liebe Lohn.
Uns hât der winter geschât über al:	Uns hat der Winter viel Schaden gebracht:
heide unde walt sint beide nû val,	hat Heide und Wald ihrer Farbe beraubt,
dâ manic stimme vil suoze inne hal.	wo mancherlei Stimme so lieblich erklang. –
Saehe ich die megde an der strâze den bal	Säh' ich die Mädchen am Wege den Ball
werfen, sô kaeme uns der vogele schal.	werfen, dann käme zurück auch der Vögel Gesang.
Möhte ich verslâfen des winters zît!	Könnt' ich den Winter nur verschlafen!
wache ich die wîle, sô hân ich sîn nît,	Solange ich wach bin, hasse ich ihn,
daz sîn gewalt ist sô breit und sô wît.	denn seine Macht ist so groß und so weit. –
Weiz got, er lât ouch dem meien den strît:	Doch weiß Gott, eines Tages hat der Mai gesiegt:
sô lise ich bluomen, dâ rîfe nû lît.	dann pflück ich Blumen, wo der Schnee jetzt liegt.
